"latitude","longitude","count"
"34.0983","174.2130","1"
"21.3329","158.0524","99"
"13.4891","144.7774","1"
"31.5043","97.1501","84"
"32.8749","96.9443","177"
"36.6543","79.8799","5"
"44.9056","-68.6913","15"
"44.8278","-68.7525","37"
"44.7908","-68.8097","3"
"44.5445","-69.6670","2"
"44.3351","-69.7727","1"
"40.0348","-69.9534","82"
"41.6823","-69.9602","6"
"43.9376","-69.9820","12"
"41.6928","-70.1505","16"
"44.6701","-70.1532","2"
"44.1275","-70.2261","11"
"43.7209","-70.2351","44"
"43.6574","-70.2558","16"
"41.6652","-70.2878","17"
"43.8497","-70.4497","14"
"41.7111","-70.4905","8"
"41.3902","-70.5142","2"
"41.5619","-70.5959","6"
"41.4521","-70.5990","2"
"41.9689","-70.7168","9"
"43.4147","-70.7452","3"
"43.0946","-70.8009","12"
"42.2411","-70.8882","1"
"42.8442","-70.8956","1"
"42.2513","-70.9219","17"
"42.5527","-70.9411","17"
"41.6408","-70.9906","7"
"42.2184","-71.0331","22"
"42.1640","-71.0589","11"
"42.3253","-71.0627","28"
"42.3532","-71.0641","174"
"43.0231","-71.0739","9"
"42.3951","-71.0793","63"
"42.3682","-71.0900","93"
"42.5187","-71.0931","2"
"44.0187","-71.1127","8"
"42.3740","-71.1146","1"
"42.3737","-71.1213","12"
"42.3429","-71.1225","26"
"42.3967","-71.1229","22"
"42.3913","-71.1404","52"
"42.4059","-71.1427","13"
"42.7442","-71.1573","17"
"41.6722","-71.1574","10"
"42.4973","-71.1608","19"
"42.2475","-71.1634","26"
"42.3226","-71.1681","23"
"42.2480","-71.1732","1"
"42.3650","-71.1804","37"
"42.4816","-71.2191","19"
"42.3492","-71.2264","2"
"42.7723","-71.2345","4"
"42.0934","-71.2631","16"
"41.5285","-71.3010","6"
"42.6108","-71.3230","58"
"41.7966","-71.3234","34"
"41.9543","-71.3421","24"
"42.8606","-71.3543","3"
"42.3030","-71.3907","34"
"41.8289","-71.4009","2"
"41.8271","-71.4167","46"
"42.9512","-71.4325","8"
"42.6978","-71.4410","13"
"42.1104","-71.4602","23"
"43.0463","-71.4652","96"
"42.5521","-71.4744","85"
"41.9393","-71.4776","35"
"43.2250","-71.4859","6"
"41.6640","-71.4959","25"
"42.1123","-71.5490","1"
"42.3561","-71.6139","28"
"44.0424","-71.6701","2"
"42.5312","-71.7462","13"
"42.5838","-71.7734","1"
"42.1998","-71.7782","30"
"42.8767","-71.9506","3"
"41.3734","-71.9583","14"
"42.5595","-71.9887","16"
"41.5815","-71.9903","12"
"41.3729","-72.1616","16"
"40.9633","-72.1854","17"
"42.5796","-72.1908","2"
"41.7350","-72.2027","17"
"43.7007","-72.2895","2"
"43.6368","-72.2898","20"
"42.9249","-72.2951","1"
"41.2895","-72.4264","8"
"43.2994","-72.4814","1"
"42.3757","-72.5205","2"
"40.8762","-72.5293","1"
"41.7782","-72.5400","3"
"41.8013","-72.5502","225"
"42.8512","-72.5576","1"
"44.2591","-72.5765","3"
"44.2610","-72.5783","4"
"41.9948","-72.5809","47"
"42.0981","-72.5861","4"
"41.2800","-72.5952","7"
"42.5878","-72.5997","5"
"42.1278","-72.6278","11"
"41.5596","-72.6467","11"
"41.7625","-72.6705","68"
"41.7474","-72.6916","4"
"41.7594","-72.7034","2"
"41.7474","-72.7123","600"
"41.7602","-72.7416","214"
"41.6292","-72.7429","17"
"41.4873","-72.8072","11"
"41.6744","-72.8451","24"
"41.8194","-72.8634","2"
"41.3584","-72.8719","30"
"41.5654","-72.9072","7"
"41.3047","-72.9286","44"
"41.5695","-73.0016","1"
"41.2363","-73.0387","39"
"40.9216","-73.0435","17"
"40.8169","-73.0601","147"
"44.5064","-73.0797","21"
"44.8135","-73.0832","3"
"40.8313","-73.0939","22"
"44.4459","-73.1100","36"
"41.8133","-73.1239","67"
"40.8757","-73.1270","68"
"44.0127","-73.1687","4"
"41.2288","-73.1838","15"
"42.7107","-73.2042","4"
"44.4773","-73.2108","20"
"44.4372","-73.2111","4"
"41.4660","-73.2309","16"
"41.7206","-73.2357","1"
"42.4494","-73.2537","51"
"40.7651","-73.3071","83"
"40.8390","-73.3153","73"
"42.1952","-73.3630","3"
"41.1271","-73.3848","5"
"41.5775","-73.4123","3"
"40.8733","-73.4153","12"
"41.4162","-73.4156","33"
"41.1007","-73.4195","8"
"40.7381","-73.4215","110"
"41.3739","-73.4216","2"
"40.7276","-73.4258","36"
"40.8728","-73.4282","33"
"44.7331","-73.4322","6"
"40.6661","-73.4867","6"
"44.7034","-73.4912","13"
"41.2836","-73.4971","2"
"40.7282","-73.5033","103"
"40.6686","-73.5308","1"
"40.7744","-73.5331","94"
"41.0571","-73.5383","1"
"41.0543","-73.5408","3"
"40.7782","-73.5560","66"
"40.7425","-73.5989","51"
"40.7397","-73.6152","55"
"40.8660","-73.6315","15"
"41.2044","-73.6442","1"
"40.6568","-73.6452","18"
"40.5887","-73.6589","5"
"40.9998","-73.6624","64"
"40.6771","-73.6679","11"
"40.6572","-73.6718","52"
"43.3264","-73.6780","43"
"41.4344","-73.6799","5"
"40.7985","-73.6999","4"
"42.6401","-73.7034","25"
"41.2050","-73.7274","3"
"42.2725","-73.7591","18"
"41.0313","-73.7676","87"
"42.6444","-73.7726","24"
"40.7790","-73.7790","22"
"42.8576","-73.7795","87"
